iter	Passed	Remaining
455	841	1003
456	842	1000
457	843	998
458	844	995
459	845	992
460	846	989
461	847	986
462	848	983
463	848	980
464	849	977
465	850	975
466	851	972
467	852	969
468	853	966
469	854	963
470	855	961
471	856	958
472	857	955
473	858	953
474	859	950
475	860	947
476	861	945
477	862	942
478	864	939
479	865	937
480	866	934
481	867	931
482	868	929
483	868	926
484	869	923
485	870	920
486	871	918
487	872	915
488	873	912
489	874	910
490	875	907
491	876	904
492	876	901
493	877	899
494	879	896
495	879	894
496	880	891
497	881	888
498	882	885
499	883	883
500	883	880
501	885	877
502	886	875
503	887	873
504	888	870
505	889	868
506	889	865
507	890	862
508	891	859
509	892	857
510	893	854
511	894	852
512	894	849
513	895	846
514	896	844
515	897	841
516	897	838
517	898	836
518	899	833
519	900	831
520	901	828
521	902	826
522	902	823
523	903	820
524	904	818
525	905	815
526	905	813
527	906	810
528	907	808
529	908	805
530	909	803
531	910	800
532	911	798
533	911	795
534	912	793
535	913	790
536	914	788
537	915	786
538	916	783
539	917	781
540	918	778
541	918	776
542	919	773
543	920	771
544	921	768
545	922	766
546	923	764
547	923	762
548	924	759
549	925	757
550	926	754
551	927	752
552	928	750
553	928	747
554	929	745
555	930	743
556	931	740
557	932	738
558	933	736
559	934	733
560	934	731
561	935	729
562	936	727
563	937	725
564	938	722
565	939	720
566	940	718
567	941	715
568	941	713
569	942	711
570	943	708
571	944	706
572	945	704
573	946	702
574	947	700
575	947	697
576	948	695
577	949	693
578	950	690
579	950	688
580	951	686
581	952	684
582	953	682
583	954	679
584	955	677
585	956	675
586	957	673
587	958	671
588	959	669
589	960	667
590	961	665
591	962	663
592	963	660
593	963	658
594	964	656
595	965	654
596	966	652
597	968	650
598	969	648
599	970	646
600	970	644
601	971	642
602	973	640
603	975	639
604	976	637
605	977	635
606	978	633
607	979	631
608	980	629
609	981	627
610	982	625
611	983	623
612	985	622
613	986	620
614	987	618
615	988	616
616	989	614
617	990	612
618	992	610
619	992	608
620	994	606
621	995	604
622	996	603
623	998	601
624	999	599
625	1000	597
626	1001	595
627	1002	593
628	1003	591
629	1004	590
630	1006	588
631	1007	586
632	1008	584
633	1009	582
634	1010	580
635	1012	579
636	1014	577
637	1015	575
638	1016	573
639	1016	572
640	1017	570
641	1019	568
642	1021	567
643	1023	565
644	1024	563
645	1025	561
646	1027	560
647	1030	559
648	1031	557
649	1032	555
650	1033	554
651	1036	553
652	1037	551
653	1038	549
654	1038	547
655	1040	545
656	1044	545
657	1045	543
658	1046	541
659	1048	540
660	1050	538
661	1051	536
662	1052	534
663	1053	532
664	1054	531
665	1056	529
666	1058	528
667	1059	526
668	1059	524
669	1060	522
670	1062	521
671	1064	519
672	1065	517
673	1066	515
674	1067	513
675	1068	512
676	1069	510
677	1071	508
678	1071	506
679	1072	504
680	1073	502
681	1074	500
682	1076	499
683	1078	498
684	1079	496
685	1080	494
686	1081	492
687	1082	490
688	1084	489
689	1086	488
690	1087	486
691	1088	484
692	1089	482
693	1089	480
694	1091	478
695	1092	477
696	1093	475
697	1094	473
698	1095	471
699	1095	469
700	1096	467
701	1097	466
702	1100	464
703	1100	462
704	1101	461
705	1102	459
706	1103	457
707	1104	455
708	1105	453
709	1107	452
710	1108	450
711	1108	448
712	1110	446
713	1111	445
714	1111	443
715	1113	441
716	1114	439
717	1115	438
718	1116	436
719	1117	434
720	1118	432
721	1119	430
722	1120	429
723	1121	427
724	1122	425
725	1123	424
726	1124	422
727	1125	420
728	1125	418
729	1126	416
730	1128	415
731	1129	413
732	1129	411
733	1130	409
734	1131	407
735	1132	406
736	1133	404
737	1133	402
738	1135	400
739	1136	399
740	1136	397
741	1137	395
742	1138	393
743	1139	392
744	1140	390
745	1141	388
746	1142	386
747	1143	385
748	1144	383
749	1145	381
750	1146	380
751	1147	378
752	1147	376
753	1148	374
754	1149	373
755	1150	371
756	1151	369
757	1152	367
758	1153	366
759	1154	364
760	1154	362
761	1155	361
762	1156	359
763	1157	357
764	1158	355
765	1159	354
766	1160	352
767	1160	350
768	1161	348
769	1162	347
770	1163	345
771	1164	343
772	1165	342
773	1166	340
774	1167	338
775	1167	337
776	1168	335
777	1169	333
778	1170	331
779	1171	330
